Title,Description,Location,Date,Price,Marketed
Block Of 4units Of 3 Bedroom Flat House,3 bedroom block of flats for sale,"  Off Isheri Road Lagos Nigeria, Isheri Olofin, Alimosho, Lagos",Added on 14 May 2022,"₦45,000,000 ",Rotimi Estate Agent  08082631533 
6 Bedroom Detached Duplex,6 bedroom detached duplex for sale,"  Egbeda, Alimosho, Lagos",Added on 14 Jul 2022,"₦55,000,000 ",Leadspecialrealtor  08066983039 
3 Bedroom Bungalow Set On Almost A Full Plot Of Land,3 bedroom semi-detached duplex for sale,"  Lasu - Isheri Expressway, Igando, Akesan, Alimosho, Lagos",Added on 05 Jul 2022,"₦17,000,000 ",Amerison Onorose Nig Ltd  +2348033956486 
Existing Hospital Building On 4 Floors With 2 (nos) 3 Bedroom Flats,Commercial property for sale,"  Micom Bus, Egbeda, Alimosho, Lagos",Added on 04 Jul 2022,"₦100,000,000 ",Riyadh Realtors  08186711779 
Commercial 2 Storey Building Facing Major Express,Plaza / complex / mall for sale,"  Akowonjo, Alimosho, Lagos",Added on 03 Jul 2022,"₦130,000,000 ",Temitope Global Team Services  07033714272 
Commercial Two Plot Together Facing Major Express Road,Commercial land for sale,"  Akowonjo, Alimosho, Lagos",Added on 03 Jul 2022,"₦290,000,000 ",Temitope Global Team Services  07033714272 
Standard 5 Bedrooms Duplex With 2 Flats Of 3 Bedrooms,5 bedroom detached duplex for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 03 Jul 2022,"₦36,000,000 ",Temitope Global Team Services  07033714272 
"Neat 16 Flats. Good For School, Hotel And Hostel Development",Block of flats for sale,"  Egbeda, Alimosho, Lagos",Added on 03 Jul 2022,"₦78,000,000 ",Temitope Global Team Services  07033714272 
Standard Decking Level Bungalow Of 3 Flats On Full Plot,Block of flats for sale,"  Dopemu, Akowonjo, Alimosho, Lagos",Added on 03 Jul 2022,"₦25,000,000 ",Temitope Global Team Services  07033714272 
Standard 8 Flats Together On Full Plot Of Land In A Good Location,Block of flats for sale,"  Shasha - Akowonjo, Alimosho, Lagos",Added on 03 Jul 2022,"₦33,000,000 ",Temitope Global Team Services  07033714272 
Half Plot Of Land With Demolishable Structure In A Serene Gated Street,Residential land for sale,"  Egbeda, Alimosho, Lagos",Added on 03 Jul 2022,"₦18,500,000 ",Temitope Global Team Services  07033714272 
Standard Plot Of Land On Tarred Gated Street With C Of O,Residential land for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 03 Jul 2022,"₦35,000,000 ",Temitope Global Team Services  07033714272 
"Nice 13 Flats Together. Good For School, Hotel, Hostel Development. C Of O",Block of flats for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 03 Jul 2022,"₦46,000,000 ",Temitope Global Team Services  07033714272 
Standard 4 Flat 3 Bedroom With Miniflat Bq On Tared Street C Of O,3 bedroom block of flats for sale,"  Egbeda, Alimosho, Lagos",Added on 03 Jul 2022,"₦45,000,000 ",Temitope Global Team Services  07033714272 
Executive 4 Bedroom Bungalow With 2 Parlours,4 bedroom detached bungalow for sale,"  Off Alake Bus Stop, Ikotun-idimu Road, Alimosho, Lagos",Added on 02 Jul 2022,"₦40,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
Title,Description,Location,Date,Price,Marketed
Executive Four Bedroom Detached Duplex,4 bedroom detached duplex for sale,"  Isheri, Egbeda, Alimosho, Lagos",Added on 28 Jun 2022,"₦65,000,000 ",Brokerlease Properties And Real Estate  08084833523 
Building Consist Of Four Numbers Of Three Bedroom,3 bedroom block of flats for sale,"  Isheri, Egbeda, Alimosho, Lagos",Added on 28 Jun 2022,"₦45,000,000 ",Brokerlease Properties And Real Estate  08084833523 
A Storey Building On 3 Plot Of Land,School for sale,"  Adexson Off Lasu Isheri Expressway, Akesan, Alimosho, Lagos",Added on 12 May 2022,"₦60,000,000 ",Amerison Onorose Nig Ltd  +2348033956486 
Well Maintained Detached Bungalows,5 bedroom detached bungalow for sale,"  Off Council Bus Stop, Isheri Olofin, Alimosho, Lagos",Added on 24 Jun 2022,"₦28,000,000 ",Springfield Properties  08034006578 
4-bedroom Duplex,4 bedroom detached duplex for sale,"  Egbeda Akowonjo, Egbeda, Alimosho, Lagos",Added on 21 Jun 2022,"₦170,000,000 ",Hgrl Property Services  08129201445 
Newly Built 5 Bedroom Detached Duplex With 2 Rooms Bq,5 bedroom detached duplex for sale,"  Gowon Estate, Egbeda, Alimosho, Lagos",Added on 21 Jun 2022,"₦120,000,000 ",Oip Properties  07061276409 
Executive Two Bedroom Apartment,2 bedroom flat / apartment for sale,"  Igando, Alimosho, Lagos",Added on 10 Jun 2022,"₦10,000,000 ",Brokerlease Properties And Real Estate  08084833523 
More Than Half Plot Of Land 372 Sqm,Land for sale,"  Off Idimu Road, Egbeda, Alimosho, Lagos",Added on 09 Jun 2022,"₦20,000,000 ",Yfab Integrated Concept Ltd  2347035892822 
